year,picture,rating,runtime,genre,subgenre,release,score,synopsis,,,,,,,,,,,,,,,,,,,,,,,,
1972,The Godfather,9.2,175,Crime,Drama,March,100,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,,,,,,,,,,,,,,,,,,,,,,,,
1971,The French Connection,7.8,104,Action,Crime,October,96,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,,,,,,,,,,,,,,,,,,,,,,,,
1970,Patton,8,172,Biography,Drama,April,91,The World War II phase of the career of the controversial American general George S. Patton.,,,,,,,,,,,,,,,,,,,,,,,,
1969,Midnight Cowboy,7.9,113,Drama,NA,June,0,A naive hustler goes to New York to seek personal fortune but in the process finds himself a new friend.,,,,,,,,,,,,,,,,,,,,,,,,
1968,Oliver!,7.5,153,Drama,Family,September,0,Musical adaptation about an orphan who runs away from an orphanage and hooks up with a group of boys trained to be pickpockets by an elderly mentor.,,,,,,,,,,,,,,,,,,,,,,,,
1967,In the Heat of the Night,8,109,Crime,Drama,October,0,An African American police detective is asked to investigate a murder in a racially hostile southern town.,,,,,,,,,,,,,,,,,,,,,,,,
1966,A Man for All Seasons,7.9,120,Biography,Drama,May,0,The story of Thomas More who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarriage.,,,,,,,,,,,,,,,,,,,,,,,,
1965,The Sound of Music,8,174,Biography,Drama,March,0,A woman leaves an Austrian convent to become a governess to the children of a Naval officer widower.,,,,,,,,,,,,,,,,,,,,,,,,
1964,My Fair Lady,7.9,170,Drama,Family,December,0,A misogynistic and snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.,,,,,,,,,,,,,,,,,,,,,,,,
1962,Lawrence of Arabia,8.4,216,Adventure,Biography,January,100,Follows a brilliant flamboyant and controversial British military figure and his conflicted loyalties during wartime service.,,,,,,,,,,,,,,,,,,,,,,,,
1960,The Apartment,8.3,125,Comedy,Drama,September,0,A man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue.,,,,,,,,,,,,,,,,,,,,,,,,
1959,Ben-Hur,8.1,212,Adventure,Drama,December,0,When a Jewish prince is betrayed and sent into slavery by a Roman friend he regains his freedom and comes back for revenge.,,,,,,,,,,,,,,,,,,,,,,,,
1958,Gigi,6.9,115,Comedy,Musical,August,0,Weary of the conventions of Parisian society a rich playboy and a youthful courtesan-in-training enjoy a platonic friendship but it may not stay platonic for long.,,,,,,,,,,,,,,,,,,,,,,,,
1957,The Bridge on the River Kwai,8.2,161,Adventure,Drama,October,0,After settling his differences with a Japanese PoW camp commander a British colonel co-operates to oversee his mens construction of a railway bridge for their captors - while oblivious to a plan by the Allies to destroy it.,,,,,,,,,,,,,,,,,,,,,,,,
1956,Around the World in 80 Days,6.8,175,Adventure,Comedy,October,0,Adaptation of Jules Vernes novel about a Victorian Englishman who bets that with the new steamships and railways he can do what the title says.,,,,,,,,,,,,,,,,,,,,,,,,
